Usuario,Importe,Operacion,Categoria,Descripcion,Adjunto,Creacion,Fecha_operacion
Juanito,33,Ingreso,Depósito,Depósito de cliente viernes 17,https://res.cloudinary.com/gscloudinary/image/upload/v1655610748/conta-fam/qliodaq4kefk8spu1m0a.jpg,"June 18, 2022 10:52 PM","June 17, 2022"
Juanito,12,Gasto,Otros,Mi menú del viernes 17,,"June 18, 2022 10:48 PM","June 17, 2022"
Juanito,20,Gasto,Bodega,Compras del viernes 17,,"June 18, 2022 10:47 PM","June 17, 2022"
Luchita,65,Gasto,Celular,"Pago del celular de Juanito, realizado el jueves 16 de junio.",https://res.cloudinary.com/gscloudinary/image/upload/v1655513683/conta-fam/n9qhe5j67mi0jyc1brvr.jpg,"June 17, 2022 7:54 PM","June 16, 2022"
Juanito,37,Gasto,Bodega,Compras del jueves 16 de junio,,"June 17, 2022 8:01 PM","June 16, 2022"
Juanito,33,Ingreso,Depósito,Aporte Juanito. Un cliente de Beat le transfirió directamente a cuenta de Lucha,,"June 17, 2022 8:02 PM","June 16, 2022"
Juanito,10,Ingreso,Depósito,Aporte Juanito del jueves 16 de junio.,https://res.cloudinary.com/gscloudinary/image/upload/v1655514223/conta-fam/cnchjjm7ots4rttvum8i.jpg,"June 17, 2022 8:03 PM","June 16, 2022"
Juanito,47,Ingreso,Depósito,Aporte Juanito del miércoles 15 de junio. Transferencia.,https://res.cloudinary.com/gscloudinary/image/upload/v1655513560/conta-fam/g0h50ti6bnyqbsxmxvpo.jpg,"June 17, 2022 7:52 PM","June 15, 2022"
Juanito,33,Gasto,Bodega,Compras en tienda del miércoles 15 de junio,,"June 17, 2022 7:53 PM","June 15, 2022"
Luchita,74,Gasto,Internet,Pago de internet junio,https://res.cloudinary.com/gscloudinary/image/upload/v1655512860/conta-fam/ffonxcezxosrjsvvbyvr.jpg,"June 17, 2022 7:41 PM","June 14, 2022"
Juanito,33,Gasto,Bodega,Compras del martes 14 de junio,,"June 17, 2022 7:49 PM","June 14, 2022"
Juanito,47,Ingreso,Depósito,Aporte de Juanito. Yapeó a Lucha. Del martes 14 de junio.,https://res.cloudinary.com/gscloudinary/image/upload/v1655513459/conta-fam/wge8ba0k34jiw57fhqqh.jpg,"June 17, 2022 7:51 PM","June 14, 2022"
Juanito,34,Gasto,Bodega,Compras en bodega,,"June 17, 2022 7:37 PM","June 13, 2022"
Juanito,20,Ingreso,Depósito,Le yapeó a mi mamá,https://res.cloudinary.com/gscloudinary/image/upload/v1655512690/conta-fam/b7mpquiokuvydhbg8w01.jpg,"June 17, 2022 7:38 PM","June 13, 2022"
Luchita,82,Gasto,Bodega,Compras x Juan,https://res.cloudinary.com/gscloudinary/image/upload/v1656526164/conta-fam/d3i9ucfh5jbd96l4scng.jpg,"June 29, 2022 1:09 PM","June 12, 2022"
Luchita,44,Gasto,Bodega,Pollo y queso,https://res.cloudinary.com/gscloudinary/image/upload/v1656525943/conta-fam/anh6iwyuob4g7fz136qa.jpg,"June 29, 2022 1:05 PM","June 12, 2022"
Juanito,60,Ingreso,Efectivo,-,,"June 29, 2022 12:55 PM","June 10, 2022"
Juanito,20,Gasto,Bodega,-,,"June 29, 2022 12:55 PM","June 10, 2022"
Juanito,80,Ingreso,Efectivo,-,,"June 29, 2022 12:54 PM","June 9, 2022"
Luchita,15,Gasto,Bodega,Iris,,"June 29, 2022 1:03 PM","June 9, 2022"
Luchita,9.6,Gasto,Bodega,-,,"June 29, 2022 1:02 PM","June 9, 2022"
Juanito,40,Ingreso,Efectivo,-,,"June 29, 2022 12:53 PM","June 8, 2022"
Juanito,40,Gasto,Bodega,-,,"June 29, 2022 12:53 PM","June 8, 2022"
Luchita,48,Gasto,Bodega,Compras en Tottus,,"June 29, 2022 1:07 PM","June 8, 2022"
Juanito,85,Gasto,Bodega,-,,"June 29, 2022 12:51 PM","June 7, 2022"
Juanito,80,Ingreso,Efectivo,-,,"June 29, 2022 12:49 PM","June 6, 2022"
Juanito,10,Gasto,Bodega,-,,"June 29, 2022 12:50 PM","June 6, 2022"
Luchita,145.66,Gasto,Mantenimiento,Mantenimiento edificio,https://res.cloudinary.com/gscloudinary/image/upload/v1656525675/conta-fam/j27q6rc9xnfmzlvja3ta.jpg,"June 29, 2022 1:01 PM","June 4, 2022"
Luchita,18.63,Gasto,Mantenimiento,Contingencia edificio,https://res.cloudinary.com/gscloudinary/image/upload/v1656525634/conta-fam/jn96i9iqy63odg3wk0p9.jpg,"June 29, 2022 1:00 PM","June 4, 2022"
Juanito,90,Gasto,Bodega,-,,"June 29, 2022 12:49 PM","June 3, 2022"
Juanito,27,Ingreso,Efectivo,-,,"June 29, 2022 12:47 PM","June 2, 2022"
Juanito,33,Gasto,Bodega,-,,"June 29, 2022 12:47 PM","June 2, 2022"
Juanito,38,Ingreso,Efectivo,-,,"June 29, 2022 12:44 PM","June 1, 2022"
Juanito,42,Gasto,Bodega,-,,"June 29, 2022 12:45 PM","June 1, 2022"
Luchita,19.5,Gasto,Bodega,Compré en efectivo,,"July 1, 2022 11:31 AM","July 1, 2022"
Luchita,200,Gasto,Cochera,,https://res.cloudinary.com/gscloudinary/image/upload/v1656707313/conta-fam/ml4rwen1pwl8xg2kk6cr.jpg,"July 1, 2022 3:28 PM","June 30, 2022"
Juanito,40,Ingreso,Depósito,Yapee a Luchi 40,https://res.cloudinary.com/gscloudinary/image/upload/v1656729709/conta-fam/qtdgieasllinftdggxn5.jpg,"July 1, 2022 9:41 PM","June 30, 2022"
Juanito,20,Ingreso,Depósito,Transferencia Interbank a Luchi 20,https://res.cloudinary.com/gscloudinary/image/upload/v1656729820/conta-fam/cuvk9cm7i8dfz7xtlzet.jpg,"July 1, 2022 9:43 PM","June 30, 2022"
Juanito,25,Gasto,Otros,"10 Empanadas ",,"July 1, 2022 9:53 PM","July 1, 2022"
Juanito,12,Gasto,Otros,"Mi menú ",,"July 1, 2022 9:54 PM","July 1, 2022"
Juanito,3,Gasto,Bodega,"Pan ",,"July 1, 2022 9:55 PM","July 1, 2022"
Juanito,20,Ingreso,Depósito,"Yapee a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1656730561/conta-fam/cmlnbbhcqprko9hlg6au.jpg,"July 1, 2022 9:56 PM","July 1, 2022"
Juanito,20,Ingreso,Depósito,"Transferencia Interbank a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1656730600/conta-fam/idxymfbigick7aoozh0g.jpg,"July 1, 2022 9:56 PM","July 1, 2022"
Luchita,65,Gasto,Otros,Polloría Mika,,"July 3, 2022 10:18 AM","July 2, 2022"
Luchita,28.2,Gasto,Bodega,"Compras domingo desayuno ",https://res.cloudinary.com/gscloudinary/image/upload/v1656867523/conta-fam/gob8erpvcf8oi84vt4si.jpg,"July 3, 2022 11:58 AM","July 3, 2022"
Luchita,9.3,Gasto,Bodega,Desayuno domingo,https://res.cloudinary.com/gscloudinary/image/upload/v1656867570/conta-fam/epjrznesycrqlqikqp25.jpg,"July 3, 2022 11:59 AM","July 3, 2022"
Luchita,12.1,Gasto,Farmacia,"Gripe Juan 😥 ",https://res.cloudinary.com/gscloudinary/image/upload/v1656898773/conta-fam/y2o0bjeejupxuasbpbqq.jpg,"July 3, 2022 8:39 PM","July 3, 2022"
Claudia,1400,Gasto,Casa,Alquiler casa,,"July 3, 2022 9:16 PM","June 30, 2022"
Juanito,21,Gasto,Bodega,"Huevos, shampoo, palta, pan",,"July 5, 2022 9:38 PM","July 5, 2022"
Juanito,59,Ingreso,Depósito,"Depósito en cta de Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1657075170/conta-fam/iuvtvv4vwaw0o4onc6wf.jpg,"July 5, 2022 9:39 PM","July 5, 2022"
Luchita,46.3,Gasto,Bodega,Pollo de mercado,https://res.cloudinary.com/gscloudinary/image/upload/v1657079079/conta-fam/fmost4hy6cm8yb5rbz9e.jpg,"July 5, 2022 10:44 PM","July 4, 2022"
Luchita,4.5,Gasto,Bodega,Queso pasteurizado,https://res.cloudinary.com/gscloudinary/image/upload/v1657079214/conta-fam/rjif24wc3qls635mbd54.jpg,"July 5, 2022 10:46 PM","July 4, 2022"
Luchita,16.6,Gasto,Casa,Tienda paisano de regreso de mercado,https://res.cloudinary.com/gscloudinary/image/upload/v1657079302/conta-fam/pekic6afqsxr4jln6h4l.jpg,"July 5, 2022 10:48 PM","July 4, 2022"
Luchita,10,Gasto,Bodega,Para Desayuno de hoy 5/7,https://res.cloudinary.com/gscloudinary/image/upload/v1657079428/conta-fam/xti534hivthonsvyozcf.jpg,"July 5, 2022 10:50 PM","July 4, 2022"
Luchita,146.66,Gasto,Mantenimiento,"Mantenimiento edificio ",https://res.cloudinary.com/gscloudinary/image/upload/v1657079554/conta-fam/d2pt4mw4srrhgcidw1r4.jpg,"July 5, 2022 10:52 PM","July 4, 2022"
Luchita,18.63,Gasto,Mantenimiento,Contingencia edificio,https://res.cloudinary.com/gscloudinary/image/upload/v1657079808/conta-fam/skc4dp8ilco90y3619df.jpg,"July 5, 2022 10:56 PM","July 4, 2022"
Luchita,15,Gasto,Bodega,Arroz y mandarinas,https://res.cloudinary.com/gscloudinary/image/upload/v1657079862/conta-fam/crdxiejnq1sgdi4kytob.jpg,"July 5, 2022 10:57 PM","July 5, 2022"
Luchita,19.52,Gasto,Bodega,Tottus,https://res.cloudinary.com/gscloudinary/image/upload/v1657080224/conta-fam/nficmpmvnldj01b2ot6d.jpg,"July 5, 2022 11:03 PM","July 5, 2022"
Luchita,6.7,Gasto,Bodega,"Arvejita partida y Plátanos de Seda ",,"July 5, 2022 11:05 PM","July 5, 2022"
Luchita,54,Gasto,Carro,SOAT CARRO,https://res.cloudinary.com/gscloudinary/image/upload/v1657156095/conta-fam/xfhpka305gpji085hoiq.jpg,"July 6, 2022 8:08 PM","July 6, 2022"
Juanito,21,Gasto,Bodega,"Cebolla, tomate, jabón, hotdot, palta, bellaco, pan",,"July 7, 2022 9:00 AM","July 6, 2022"
Juanito,10,Gasto,Farmacia,4 panadol,,"July 7, 2022 9:00 AM","July 6, 2022"
Juanito,49,Ingreso,Depósito,"Por Interbank ",https://res.cloudinary.com/gscloudinary/image/upload/v1657202490/conta-fam/lgmpa6poodqk4jbjkbsp.jpg,"July 7, 2022 9:01 AM","July 6, 2022"
Claudia,1400,Ingreso,Depósito,Alquiler de casa,,"July 7, 2022 9:40 PM","June 30, 2022"
Juanito,11,Gasto,Farmacia,"Alcohol ",,"July 8, 2022 8:54 AM","July 7, 2022"
Juanito,34,Gasto,Bodega,"Huevos, arvejita,yogurt, cereal,pasas,vinagre, pimiento,2 paltas",,"July 8, 2022 8:56 AM","July 7, 2022"
Juanito,35,Ingreso,Depósito,Yape a luchi,https://res.cloudinary.com/gscloudinary/image/upload/v1657288628/conta-fam/ibvljud7pvwvjyvwq9y4.jpg,"July 8, 2022 8:57 AM","July 7, 2022"
Luchita,200,Gasto,Cochera,PAGO DE COCHERA,https://res.cloudinary.com/gscloudinary/image/upload/v1657330525/conta-fam/dhant8krwf3sqxmst0em.jpg,"July 8, 2022 8:35 PM","May 31, 2022"
Juanito,33,Gasto,Bodega,"Fresas, jabón, leche, palta,pan, plátanos ",,"July 8, 2022 9:51 PM","July 8, 2022"
Juanito,10,Gasto,Farmacia,Panadol,,"July 8, 2022 9:51 PM","July 8, 2022"
Juanito,37,Ingreso,Depósito,"Transferencia Interbank ",https://res.cloudinary.com/gscloudinary/image/upload/v1657335172/conta-fam/gugdwyoxaj3vbhaqcelj.jpg,"July 8, 2022 9:52 PM","July 8, 2022"
Luchita,227.7,Ingreso,Depósito,Depósito por pago de luz del sur,,"July 8, 2022 10:59 PM","June 23, 2022"
Luchita,40,Gasto,Bodega,"Compras sábado ",https://res.cloudinary.com/gscloudinary/image/upload/v1657493668/conta-fam/n3mhhd7gsk6lph9wygxx.jpg,"July 10, 2022 5:54 PM","July 9, 2022"
Luchita,35,Gasto,Bodega,Compras domingo noche,https://res.cloudinary.com/gscloudinary/image/upload/v1657496341/conta-fam/xqpfftxth04xjoqxwvro.jpg,"July 10, 2022 6:39 PM","July 10, 2022"
Luchita,31.11,Gasto,Bodega," Compra de bistec y Jabones en TOTTUS ",https://res.cloudinary.com/gscloudinary/image/upload/v1657589251/conta-fam/db5radycukxie1osomjc.jpg,"July 11, 2022 8:27 PM","July 10, 2022"
Luchita,74,Gasto,Internet,"Internet ",https://res.cloudinary.com/gscloudinary/image/upload/v1657592614/conta-fam/mfmxgzwjdl1wp0kdvnc5.jpg,"July 11, 2022 9:23 PM","July 11, 2022"
Juanito,23,Gasto,Bodega,"3 paltas,huevos,pan,mandarinas",,"July 12, 2022 1:11 PM","July 11, 2022"
Juanito,57,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1657649537/conta-fam/azje8io13s9jfpbgqqz7.jpg,"July 12, 2022 1:12 PM","July 11, 2022"
Luchita,61,Gasto,Gas,6 am se terminó  el gas,https://res.cloudinary.com/gscloudinary/image/upload/v1657665705/conta-fam/ykqvb13mies7nzczyjml.jpg,"July 12, 2022 5:41 PM","July 12, 2022"
Juanito,33,Gasto,Bodega,"Hogdog, 3 paltas, leche, pan, mayonesa, pimiento, café.",,"July 12, 2022 10:19 PM","July 12, 2022"
Juanito,47,Ingreso,Depósito,"Transferencia Interbank ",https://res.cloudinary.com/gscloudinary/image/upload/v1657682462/conta-fam/nxvucsxmm0vfpiivb5qh.jpg,"July 12, 2022 10:21 PM","July 12, 2022"
Luchita,36.5,Gasto,Bodega,Pollo mercado,https://res.cloudinary.com/gscloudinary/image/upload/v1657765675/conta-fam/txla1es20gr4arxlsesr.jpg,"July 13, 2022 9:27 PM","July 13, 2022"
Luchita,32,Gasto,Bodega,"Verduras y otros, mercado",https://res.cloudinary.com/gscloudinary/image/upload/v1657765743/conta-fam/aqc4j1hnyhi3mqmpslbo.jpg,"July 13, 2022 9:29 PM","July 13, 2022"
Luchita,2,Gasto,Bodega,Pan,https://res.cloudinary.com/gscloudinary/image/upload/v1657765785/conta-fam/q5bg4oldigv3j9zwrntf.jpg,"July 13, 2022 9:29 PM","July 13, 2022"
Juanito,80,Ingreso,Depósito,"Depósito en cuenta de lucha ",https://res.cloudinary.com/gscloudinary/image/upload/v1657769921/conta-fam/s35d36j683pvro3glk7x.jpg,"July 13, 2022 10:38 PM","July 13, 2022"
Juanito,22,Gasto,Bodega,"Ph, queso,pan,palta,bolsas basura,cafe",,"July 14, 2022 11:47 PM","July 14, 2022"
Juanito,58,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1657860498/conta-fam/i41irsuejozrvokwxeii.jpg,"July 14, 2022 11:48 PM","July 14, 2022"
Claudia,200,Ingreso,Depósito,Aporte JL Claudia julio,,"July 16, 2022 12:15 PM","July 16, 2022"
Claudia,166.66,Ingreso,Depósito,Aporte para pago última cuota lavadora Claudia y JL,,"July 16, 2022 12:18 PM","July 16, 2022"
Claudia,249.99,Gasto,Otros,Pago de última cuota de lavadora,,"July 16, 2022 12:19 PM","July 16, 2022"
Juanito,15,Gasto,Otros,"Mi menú ",,"July 16, 2022 5:35 PM","July 15, 2022"
Juanito,33,Gasto,Bodega,"Papaya, plátanos, huevos,jabón,3 paltas,pan.",,"July 16, 2022 5:37 PM","July 15, 2022"
Juanito,22,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658011081/conta-fam/op7scvnb68j8wwqalxd6.jpg,"July 16, 2022 5:38 PM","July 15, 2022"
Luchita,20,Gasto,Bodega,"Keke y cereal, supermercado",https://res.cloudinary.com/gscloudinary/image/upload/v1658105452/conta-fam/mwvqlfe9l1bjhcfcybqn.jpg,"July 17, 2022 7:50 PM","July 17, 2022"
Luchita,48,Gasto,Bodega,"Detergente, Suavizante, avena, cereal y otros",https://res.cloudinary.com/gscloudinary/image/upload/v1658105526/conta-fam/wnbgrisgkh2tanzwadek.jpg,"July 17, 2022 7:52 PM","July 17, 2022"
Luchita,40,Gasto,Bodega,"Iris: PH, leches, mostaza, Pimienta y otros",https://res.cloudinary.com/gscloudinary/image/upload/v1658107671/conta-fam/aiokltlfw4crkmnpwk9z.jpg,"July 17, 2022 8:27 PM","July 17, 2022"
Juanito,10,Gasto,Bodega,"Tamales, pan,palta",,"July 17, 2022 9:23 PM","July 15, 2022"
Luchita,65,Gasto,Celular,Celular de Juan,https://res.cloudinary.com/gscloudinary/image/upload/v1658192103/conta-fam/vhztihevbmrmcglmy3fd.jpg,"July 18, 2022 7:55 PM","July 18, 2022"
Luchita,61,Gasto,Otros,"Día del pollo Mica, domingo ",,"July 18, 2022 7:58 PM","July 17, 2022"
Juanito,5,Gasto,Bodega,"Pan,palta",,"July 18, 2022 9:04 PM","July 18, 2022"
Juanito,15,Gasto,Otros,"Mi menú ",,"July 18, 2022 9:04 PM","July 18, 2022"
Juanito,48,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658196312/conta-fam/ujkejp1puadttyelahmg.jpg,"July 18, 2022 9:05 PM","July 18, 2022"
Juanito,12,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658273932/conta-fam/iuugkyvohwi4ng5zsipv.jpg,"July 19, 2022 6:38 PM","July 18, 2022"
Juanito,25,Gasto,Bodega,"Pollo, aceitunas,palta, azúcar,pan",,"July 19, 2022 11:47 PM","July 19, 2022"
Juanito,25,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658292500/conta-fam/dp44f2yv0gvvbkkivcbi.jpg,"July 19, 2022 11:48 PM","July 19, 2022"
Juanito,30,Ingreso,Depósito,"Transferencia Interbank ",https://res.cloudinary.com/gscloudinary/image/upload/v1658292543/conta-fam/qm0bvzje8tb4f4oarlmi.jpg,"July 19, 2022 11:49 PM","July 19, 2022"
Juanito,45,Gasto,Bodega,"Paltas, hogdog, arroz, huevos, limones,pan, bellacos,cabanossi",,"July 20, 2022 11:32 PM","July 20, 2022"
Juanito,20,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658378009/conta-fam/lwgabxfhqdii1t3sllxn.jpg,"July 20, 2022 11:33 PM","July 20, 2022"
Juanito,15,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658431362/conta-fam/aibrnfhg9mj4luxujyjb.jpg,"July 21, 2022 2:22 PM","July 20, 2022"
Juanito,25,Gasto,Bodega,"Palta,toalla, servilletas, fideos, manzanilla, plátanos, mandarina,pan",,"July 22, 2022 1:36 PM","July 21, 2022"
Juanito,55,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658515052/conta-fam/bzk9wlg5vk5db7fctkey.jpg,"July 22, 2022 1:37 PM","July 21, 2022"
Luchita,22.1,Gasto,Bodega,"Tienda, fresas, leche y otros",https://res.cloudinary.com/gscloudinary/image/upload/v1658544182/conta-fam/zmkabthqcw5lnqcttoy5.jpg,"July 22, 2022 9:43 PM","July 22, 2022"
Juanito,20,Gasto,Otros,"8 empanadas ",,"July 23, 2022 12:52 PM","July 22, 2022"
Juanito,3,Gasto,Bodega,Palta,,"July 23, 2022 12:53 PM","July 22, 2022"
Juanito,57,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658598839/conta-fam/z899sjwkq6hdwqax7sib.jpg,"July 23, 2022 12:53 PM","July 22, 2022"
Luchita,262.6,Ingreso,Depósito,Para pago 1 recibo de luz,https://res.cloudinary.com/gscloudinary/image/upload/v1658601026/conta-fam/mpoezkamenqyqr8axwdh.jpg,"July 23, 2022 1:30 PM","July 23, 2022"
Luchita,262.6,Gasto,Luz,Pago un recibo de luz,https://res.cloudinary.com/gscloudinary/image/upload/v1658601106/conta-fam/kebwkl5vsiaqxfpijvlo.jpg,"July 23, 2022 1:31 PM","July 23, 2022"
Luchita,283.02,Gasto,Bodega,"Compras VEA, ph, Jabones, crema dental, Detergente, atunes, arroz, azúcar etc",https://res.cloudinary.com/gscloudinary/image/upload/v1658631840/conta-fam/s8nldsibguvjian63nut.jpg,"July 23, 2022 10:04 PM","July 23, 2022"
Luchita,30,Gasto,Bodega,"Compra pegamento para silla, pan, palta, hievos, tomate y otro",https://res.cloudinary.com/gscloudinary/image/upload/v1658805052/conta-fam/ojwvwqkmi8rnaktgg5md.jpg,"July 25, 2022 10:10 PM","July 25, 2022"
Juanito,35,Gasto,Bodega,"Paltas, mandarina,granadilla, café ",,"July 27, 2022 9:22 AM","July 26, 2022"
Juanito,45,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658931831/conta-fam/iuzqyuyorb5h0gtkkn0p.jpg,"July 27, 2022 9:23 AM","July 26, 2022"
Juanito,38,Gasto,Bodega,"Pan, leche,queso, huevos, hogdog,palta, plátanos ",,"July 27, 2022 10:46 PM","July 27, 2022"
Juanito,42,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1658980111/conta-fam/uscparms2dvxf7wzdgel.jpg,"July 27, 2022 10:48 PM","July 27, 2022"
Luchita,75,Gasto,Otros,"Ceviche, chicharrón de hoy 29/7 Beto",https://res.cloudinary.com/gscloudinary/image/upload/v1659153577/conta-fam/ns1dr2n2muh1qb9h0gly.jpg,"July 29, 2022 10:59 PM","July 29, 2022"
Luchita,200,Gasto,Cochera,"Pago de cochera, hoy cambié $51 de mis ahorros ",https://res.cloudinary.com/gscloudinary/image/upload/v1659408032/conta-fam/hyb8m7pe9ckfralftu3h.jpg,"August 1, 2022 9:40 PM","August 1, 2022"
Juanito,9,Gasto,Bodega,"Palta,pan,café, pepinillo ",,"August 1, 2022 10:43 PM","August 1, 2022"
Juanito,46,Ingreso,Depósito,"Yapee a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1659411926/conta-fam/k0xln7xjjlpoahljxnld.jpg,"August 1, 2022 10:45 PM","August 1, 2022"
Juanito,25,Ingreso,Depósito,"Transferencia Interbank ",https://res.cloudinary.com/gscloudinary/image/upload/v1659411970/conta-fam/eb6sljzwlxuyleafeagj.jpg,"August 1, 2022 10:46 PM","August 1, 2022"
Juanito,25,Gasto,Bodega,"Pan,pasas,paltas, huevos, shampoo ",,"August 2, 2022 9:12 PM","August 2, 2022"
Juanito,55,Ingreso,Depósito,Depósito en agente,https://res.cloudinary.com/gscloudinary/image/upload/v1659492792/conta-fam/wcqcabgnokd25zkavskt.jpg,"August 2, 2022 9:13 PM","August 2, 2022"
Juanito,4,Gasto,Bodega,"Palta,pan",,"August 3, 2022 9:41 PM","August 3, 2022"
Juanito,40,Ingreso,Depósito,Depósito en agente bcp,https://res.cloudinary.com/gscloudinary/image/upload/v1659580967/conta-fam/p9jv8x0yntdwff74euqb.jpg,"August 3, 2022 9:42 PM","August 3, 2022"
Juanito,26,Ingreso,Depósito,"Yape a Luchi ",https://res.cloudinary.com/gscloudinary/image/upload/v1659581005/conta-fam/ta8ctryjlhiegrpkjcap.jpg,"August 3, 2022 9:43 PM","August 3, 2022"
Juanito,51,Gasto,Bodega,"Yogurt,paltas,atún, plátanos, mandarina, arroz,queso, hogdog,cafe",,"August 5, 2022 2:07 PM","August 4, 2022"
Juanito,4,Gasto,Otros,"Empanada de menú ",,"August 5, 2022 2:08 PM","August 4, 2022"
